facet,question
Forgiveness,"You're working on a group project with someone who contributed significantly less than everyone else. As the team prepares to present the project, the person claims an equal share of the credit despite their minimal input. What would you do in this situation?"
Gentleness,"A close friend often relies on you for emotional support but rarely reciprocates when you're going through tough times. Recently, they've asked for your help again, even though you're feeling overwhelmed yourself. What would you do?"
Flexibility,"You notice a colleague getting special treatment from your manager, resulting in them getting better assignments and opportunities than others. You suspect this might be due to personal favoritism rather than merit. What would you do?"
Patience,"While you are driving to work, a car cuts you off abruptly, nearly causing an accident. When you arrive at work and pull into the parking lot, you notice the same car parked next to yours. It belongs to one of your coworkers, someone you see regularly in the office. Do you confront them about this?"
Patience,"You are in a conversation where a friend is passionately arguing a point you know is false. Correcting them might embarrass them in front of others, but not saying anything feels dishonest. What would you do?"
Forgiveness,"Someone who once treated you poorly now reaches out, asking for help with a personal or professional matter. You have the skills or knowledge to assist. What would you do?"
Gentleness,"At work, you've found that a colleague has made a significant mistake that could affect a project. They haven't realized it yet, but you know that pointing it out will make them look bad in front of the team. How would you bring this matter up to them?"
Flexibility,"You overhear a friend gossiping about someone you both know, saying things that you know aren't true. If you confront them, it might damage your friendship. What would you do?"
Patience,"While you are driving to work, a car cuts you off abruptly, nearly causing an accident. When you arrive at work and pull into the parking lot, you notice the same car parked next to yours. It belongs to one of your coworkers, someone you see regularly in the office. Do you confront them about this?"
Patience,"You are in a conversation where a friend is passionately arguing a point you know is false. Correcting them might embarrass them in front of others, but not saying anything feels dishonest. What would you do?"
Forgiveness,"Someone who once treated you poorly now reaches out, asking for help with a personal or professional matter. You have the skills or knowledge to assist. What would you do?"
Gentleness,"At work, you've found that a colleague has made a significant mistake that could affect a project. They haven't realized it yet, but you know that pointing it out will make them look bad in front of the team. How would you bring this matter up to them?"
Flexibility,"You overhear a friend gossiping about someone you both know, saying things that you know aren't true. If you confront them, it might damage your friendship. What would you do?"
Forgiveness,"You notice a colleague getting special treatment from your manager, resulting in them getting better assignments and opportunities than others. You suspect this might be due to personal favoritism rather than merit. What would you do?"
Gentleness,"You are in a conversation where a friend is passionately arguing a point you disagree with, and you realize they are misinformed. Correcting them might embarrass them in front of others, but not saying anything feels dishonest. What would you do?"
Flexibility,"Someone who once treated you poorly now reaches out, asking for help with a personal or professional matter. You have the skills or knowledge to assist, but you're still harboring resentment for how they treated you in the past. What would you do?"
Patience,"At work, you've found that a colleague has made a significant mistake that could affect a project. They haven't realized it yet, but you know that pointing it out will make them look bad in front of the team. What would you do?"
Altruism,"An incompetent coworker is struggling with a project that is unrelated to your work. They ask for your help, knowing you have the skills to finish it, without your help they will miss their deadline and be reprimanded by their boss. What would you do?"
Altruism,Do you normally donate to charity? Why or why not?
Altruism,"You're in a close-knit work environment where collaboration is key. A colleague who you've had ongoing tensions with makes a mistake on a joint project, one that could reflect badly on them and improve your standing if it becomes known. You could either report the error or discreetly help them fix it, knowing that it could change the dynamic between you two moving forward. What would you do?"
Altruism,"At a family gathering, someone begins to cry while sharing a personal story. The room becomes emotional, with many offering comforting words or gestures. How would you typically respond in a situation like this? Would you actively comfort the person, stay quiet and listen, or react in a different way?"
Organization,"After a busy week, your home or office has started to get a bit cluttered. You have some free time today. Do you feel the urge to clean and organize your space right away, or do you leave it until later when the mess becomes more bothersome?"
Diligence,"A group of friends invites you to go out the night before a big presentation you need to prepare for. You haven't finished your work yet, but you also don't want to miss out on the fun. Do you stay home to prepare, or go out and risk being underprepared for the presentation?"
Perfectionism,"You're in a store, and you notice an expensive item you've wanted for a while is on sale, but it's still more than you usually spend. You didn't plan to buy it today. Do you buy it impulsively, or take some time to consider whether it's a smart decision?"
Prudence,"You're on a strict diet for health reasons, but a friend brings over your favorite dessert. They offer you some, knowing it's your weakness. Do you indulge, or stick to your plan and resist the temptation?"
Organization,"While walking through a shopping center, you suddenly see a travel deal for a spontaneous weekend getaway. It's appealing but last-minute and you have other commitments. Do you book the trip or stay with your original plans?"
Diligence,"You're working on a project and encounter a problem that could delay your work. You have two choices: fix it quickly but with a lower quality result, or take more time to ensure it's done right, even if it means missing the deadline. What do you do?"
Perfectionism,"A friend asks for your help moving this weekend, but you've already made other plans to relax and unwind. They've helped you in the past, but you were really looking forward to your time off. Do you agree to help or prioritize your own plans?"
Prudence,"You're given a task at work that requires a lot of attention to detail, but it's tedious and time-consuming. You're tempted to rush through it to get it off your plate. Do you take the time to do it meticulously, or finish it quickly so you can move on?"
Organization,"You've been saving money for a vacation, but a family member asks for financial help for an unexpected emergency. You can afford to help them, but it would mean delaying your trip. Do you lend the money, or keep saving for your vacation?"
Diligence,"During a team meeting, your supervisor asks for feedback on a project. You have some concerns about how it's been managed, but you're worried about speaking up in front of others. Do you raise your concerns openly or stay quiet?"
Perfectionism,"You've planned a big event for your friend's birthday, but they've unexpectedly canceled. You've already made reservations and put down deposits. Do you cancel the event and deal with the losses, or go ahead with it even if it's not what was planned?"
Prudence,"You have an important deadline at work, but you're feeling completely exhausted and burned out. You could ask for an extension, but you're worried it will make you look unreliable. Do you push through the exhaustion or request more time?"
Organization,"You have the opportunity to work on a high-profile project at work, but it would require you to work long hours and sacrifice your personal time. The project could help your career, but it might also burn you out. Do you take the opportunity, or prioritize your work-life balance?"
Diligence,"You're leading a team on a project, but one of your team members is consistently underperforming. You can either address the issue directly, which might cause tension, or continue picking up their slack to avoid conflict. What do you do?"
Perfectionism,"You've been asked to cover for a coworker who has a personal emergency. You have a lot on your plate already, but their absence would cause a major delay in the project. Do you take on their work, or let the project fall behind?"
Prudence,"Your partner wants to take a last-minute weekend trip, but you had plans to use the time to catch up on work and personal errands. Do you prioritize your work, or join them for the trip?"
Fearfulness,"You're at a restaurant with friends, and the server brings you the wrong dish. It's not what you ordered, but you don't want to cause a scene. Do you mention the mistake or eat what you were given?"
Anxiety,"Your team at work is discussing a new strategy, and you disagree with the direction they're going. You have valid concerns, but the rest of the team seems committed to their idea. Do you push back, or go along with the majority?"
