facet,question
Sincerity,"There's a colleague at work you don't particularly get along with, but they have access to resources that could help you on a project. Do you act extra friendly toward them to gain their favor, or do you remain genuine and avoid pretending to like them for personal gain?"
Fairness,"You come across a briefcase containing a million dollars, and there's no way anyone would know if you took it. Would you be tempted to take the money knowing you'd never be caught, or would you leave it behind because it's the right thing to do?"
Greed-Avoidance,"You're offered a job with a significantly higher salary, but it would require long hours and less time for your personal life. Do you take the job for the money, or do you prioritize your work-life balance and decline the offer?"
Modesty,"At a social gathering, you meet new people who seem interested in your background. Do you highlight your achievements and status to make a strong impression, or do you downplay your success and prefer to keep things low-key?"
Fearfulness,"You're at a restaurant with friends, and the server brings you the wrong dish. It's not what you ordered, but you don't want to cause a scene. Do you mention the mistake or eat what you were given?"
Anxiety,"You've applied for a job you really want, and you're waiting for the final decision. Do you find yourself constantly checking your phone and feeling tense, or are you able to stay relaxed while waiting for the response?"
Dependence,"You've been feeling anxious about an upcoming decision, and the uncertainty is starting to weigh on you. Do you immediately reach out to a close friend or family member to talk it through, or do you prefer to keep your worries to yourself until you can figure it out?"
Sentimentality,"A close friend tells you they're moving abroad for a year. You're happy for them but also know that you won't see them for a long time. Do you find yourself deeply emotional about their departure, or are you able to handle it calmly?"
Social Self-Esteem,"You're sitting alone at a social event, and it seems like everyone else is engaged in lively conversations. Do you often feel like you're not well-liked or that people don't want to engage with you, or do you feel like it's just circumstantial?"
Liveliness,"You're at a social event, and you notice most people around you are energetic and enthusiastic. Do you feel like you're more reserved or calm compared to others in social situations, or do you match the energy of those around you?"
Social Boldness,"You're at a party where nobody is initiating conversations. Do you step up and start talking to others, introducing yourself, and helping break the ice, or do you tend to wait for others to make the first move?"
Sociability,"You've just moved to a new city and you're attending an event where you don't know anyone. Do you actively introduce yourself to new people and try to make connections right away, or do you wait for others to approach you?"
Forgiveness,"You're working on a group project with someone who contributed significantly less than everyone else. As the team prepares to present the project, the person claims an equal share of the credit despite their minimal input. What would you do in this situation?"
Gentleness,"You are in a conversation where a friend is passionately arguing a point you disagree with, and you realize they are misinformed. Correcting them might embarrass them in front of others, but not saying anything feels dishonest. What would you do?"
Flexibility,"You overhear a friend gossiping about someone you both know, saying things that you know aren't true. If you confront them, it might damage your friendship. What would you do?"
Patience,"While you are driving to work, a car cuts you off abruptly, nearly causing an accident. When you arrive at work and pull into the parking lot, you notice the same car parked next to yours. It belongs to one of your coworkers, someone you see regularly in the office. Do you confront them about this?"
Organization,"After a busy week, your home or office has started to get a bit cluttered. You have some free time today. Do you feel the urge to clean and organize your space right away, or do you leave it until later when the mess becomes more bothersome?"
Diligence,"A group of friends invites you to go out the night before a big presentation you need to prepare for. You haven't finished your work yet, but you also don't want to miss out on the fun. Do you stay home to prepare, or go out and risk being underprepared for the presentation?"
Perfectionism,"You're in a store, and you notice an expensive item you've wanted for a while is on sale, but it's still more than you usually spend. You didn't plan to buy it today. Do you buy it impulsively, or take some time to consider whether it's a smart decision?"
Prudence,"You're on a strict diet for health reasons, but a friend brings over your favorite dessert. They offer you some, knowing it's your weakness. Do you indulge, or stick to your plan and resist the temptation?"
Aesthetic Appreciation,"You're out for a walk in a park, and you find a peaceful spot to sit and watch the wind rustling through the trees. Do you enjoy moments like these, where you can simply observe nature without any distractions, or do you get restless in such quiet moments?"
Inquisitiveness,"You're flipping through an encyclopedia or a reference book filled with information on various topics. Do you find it boring and unengaging to browse through it, or do you enjoy learning new facts from these types of resources?"
Creativity,"You're offered two jobs: one is highly structured with clear tasks and routines, while the other requires more creativity and problem-solving. Do you prefer the routine-based job, or are you more inclined to take the creative role?"
Unconventionality,"You're at a social gathering and strike up a conversation with someone who holds unconventional views on a variety of topics. Do you find their perspectives intriguing and enjoy discussing ideas that challenge the norm, or do you find it hard to relate to them?"
Altruism,"An incompetent coworker is struggling with a project that is unrelated to your work. They ask for your help, knowing you have the skills to finish it, without your help they will miss their deadline and be reprimanded by their boss. What would you do?"
